respondent,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,comment_good,comment_improve,comment_other
1,どちらともいえない,どちらともいえない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
2,非常にそう思う,非常にそう思う,非常にそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
3,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
4,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,,,
5,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
6,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,どちらともいえない,非常にそう思う,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
7,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,非常にそう思う,非常にそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,,,
8,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,非常にそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
9,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
10,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,ややそう思う,どちらともいえない,ややそう思う,非常にそう思う,ややそう思う,ややそう思う,どちらともいえない,とても直感的で、フィードバックも速いです。数値を入力すると即座に対応する変化が確認でき、データの変化を素早く理解できます。また、比較もしやすい点が良いと思います。,なし,なし
